	name	clean_text
222	Автономная некоммерческая организация по содействию распространению современных образовательных программ «Лаборатория социальных наук»	автономная некоммерческая организация по содействию распространению современных образовательных программ лаборатория социальных наук 
223	Автономная некоммерческая организация «Институт права и публичной политики»	автономная некоммерческая организация институт права и публичной политики 
224	Баданин Роман Сергеевич	баданин роман сергеевич
225	Гликин Максим Александрович	гликин максим александрович
226	Железнова Мария Михайловна	железнова мария михайловна
227	Лукьянова Юлия Сергеевна	лукьянова юлия сергеевна
228	Маетная Елизавета Витальевна	маетная елизавета витальевна
229	Маняхин Петр Борисович	маняхин петр борисович
230	Чуракова Ольга Владимировна	чуракова ольга владимировна
231	Ярош Юлия Петровна	ярош юлия петровна
232	Апухтина Юлия Владимировна	апухтина юлия владимировна
233	Некоммерческая организация «Фонд защиты прав граждан «Штаб»	некоммерческая организация фонд защиты прав граждан штаб 
234	Юридическое лицо «The Insider SIA», зарегистрированное в Риге,Латвийская Республика, являющееся администратором доменного имени интернет-издания «The Insider SIA», https://theins.ru	юридическое лицо the insider sia зарегистрированное в риге латвийская республика являющееся администратором доменного имени интернет издания the insider sia https theins ru
235	Гройсман Софья Романовна	гройсман софья романовна
236	Постернак Алексей Евгеньевич	постернак алексей евгеньевич
237	Рождественский Илья Дмитриевич	рождественский илья дмитриевич
238	Рубин Михаил Аркадьевич	рубин михаил аркадьевич
239	"Общероссийское общественное движение в защиту прав избирателей ""Голос"""	общероссийское общественное движение в защиту прав избирателей голос 
240	Анин Роман Александрович	анин роман александрович
241	Пермская региональная общественная организация поддержки и развития медиа-проектов «Четвертый сектор»	пермская региональная общественная организация поддержки и развития медиа проектов четвертый сектор 
242	Юридическое лицо Istories fonds,зарегистрированное в Латвийской Республике	юридическое лицо istories fonds зарегистрированное в латвийской республике
243	Великовский Дмитрий Александрович	великовский дмитрий александрович
244	Долинина Ирина Николаевна	долинина ирина николаевна
245	Мароховская Алеся Алексеевна	мароховская алеся алексеевна
246	Петров Степан Юрьевич	петров степан юрьевич
247	Общество с ограниченной ответственностью Телеканал Дождь	общество с ограниченной ответственностью телеканал дождь
248	Шлейнов Роман Юрьевич	шлейнов роман юрьевич
249	Шмагун Олеся Валентиновна	шмагун олеся валентиновна
250	Общество с ограниченной ответственностью «Альтаир 2021»	общество с ограниченной ответственностью альтаир 2021 
251	Общество с ограниченной ответственностью «Вега 2021»	общество с ограниченной ответственностью вега 2021 
252	Общество с ограниченной ответственностью «Главный редактор 2021»	общество с ограниченной ответственностью главный редактор 2021 
253	Общество с ограниченной ответственностью «Ромашки монолит»	общество с ограниченной ответственностью ромашки монолит 
254	Общество с ограниченной ответственностью «Важные иноагенты»	общество с ограниченной ответственностью важные иноагенты 
255	Важенков Артем Валерьевич	важенков артем валерьевич
256	Верзилов Петр Юрьевич	верзилов петр юрьевич
257	Ивановская областная общественная организация «Центр гендерных исследований»	ивановская областная общественная организация центр гендерных исследований 
258	Автономная некоммерческая организация «Нижегородский центр немецкой и европейской культуры»	автономная некоммерческая организация нижегородский центр немецкой и европейской культуры 
259	Грезев Александр Викторович	грезев александр викторович
260	Гурман Юрий Альбертович	гурман юрий альбертович
261	Гусев Андрей Юрьевич	гусев андрей юрьевич
262	"Медиапроект ""ОВД-Инфо"""	медиапроект овд инфо 
263	Егоров Владимир Владимирович	егоров владимир владимирович
264	Жилинский Владимир Александрович	жилинский владимир александрович
265	Жилкин Владимир Владимирович	жилкин владимир владимирович
266	Общество с ограниченной ответственностью «Зона права»	общество с ограниченной ответственностью зона права 
267	Общество с ограниченной ответственностью «ЗП»	общество с ограниченной ответственностью зп 
268	Иванова София Юрьевна	иванова софия юрьевна
269	Карезина Инна Павловна	карезина инна павловна
270	Каткова Вероника Вячеславовна	каткова вероника вячеславовна
271	Кильтау Екатерина Викторовна	кильтау екатерина викторовна
272	Ковин Виталий Сергеевич	ковин виталий сергеевич
273	Костылева Полина Владимировна	костылева полина владимировна
274	Кузьмина Людмила Гавриловна	кузьмина людмила гавриловна
275	Любарев Аркадий Ефимович	любарев аркадий ефимович
276	Лютов Александр Иванович	лютов александр иванович
277	Петров Алексей Викторович	петров алексей викторович
278	Пигалкин Илья Валерьевич	пигалкин илья валерьевич
279	Пискунов Сергей Евгеньевич	пискунов сергей евгеньевич
280	Смирнов Сергей Сергеевич	смирнов сергей сергеевич
281	Тихонов Михаил Сергеевич	тихонов михаил сергеевич
282	Общество с ограниченной ответственностью «ЖУРНАЛИСТ-ИНОСТРАННЫЙ АГЕНТ»	общество с ограниченной ответственностью журналист иностранный агент 
283	Арапова Галина Юрьевна	арапова галина юрьевна
284	Вольтская Татьяна Анатольевна	вольтская татьяна анатольевна
285	Американская компания «Mason G.E.S. Anonymous Foundation» (США),являющаяся владельцем интернет- издания https://mnews.world/	американская компания mason g e s anonymous foundation сша являющаяся владельцем интернет издания https mnews world 
286	Компания «Stichting Bellingcat»,зарегистрированная в Нидерландах	компания stichting bellingcat зарегистрированная в нидерландах
287	Захаров Андрей Вячеславович	захаров андрей вячеславович
288	Клепиковская Екатерина Дмитриевна	клепиковская екатерина дмитриевна
289	Общество с ограниченной ответственностью «МЕМО»	общество с ограниченной ответственностью мемо 
290	Охотин Григорий Никитич	охотин григорий никитич
291	Бейлинсон Даниил Александрович	бейлинсон даниил александрович
292	Перл Роман Александрович	перл роман александрович
293	Симонов Евгений Алексеевич	симонов евгений алексеевич
294	Соловьева Елена Анатольевна	соловьева елена анатольевна
295	Сотников Даниил Владимирович	сотников даниил владимирович
296	Сурначева Елизавета Дмитриевна	сурначева елизавета дмитриевна
297	Автономная некоммерческая организация по защите прав человека и информированию населения «Якутия– Наше Мнение»	автономная некоммерческая организация по защите прав человека и информированию населения якутия наше мнение 
298	Акционерное общество «РС-Балт»	акционерное общество рс балт 
299	Общество с ограниченной ответственностью «Москоу диджитал медиа», с 26.01.2023 Общество с ограниченнойответственностью «Чайка Белые сады»	общество с ограниченной ответственностью москоу диджитал медиа с 26 01 2023 общество с ограниченнойответственностью чайка белые сады 
300	Ветошкина Валерия Валерьевна	ветошкина валерия валерьевна
301	Заговора Максим Александрович	заговора максим александрович
302	"Межрегиональное общественное движение ""Российская ЛГБТ - сеть"""	межрегиональное общественное движение российская лгбт сеть 
303	Оленичев Максим Владимирович	оленичев максим владимирович
304	Павлов Иван Юрьевич	павлов иван юрьевич
305	Скворцова Елена Сергеевна	скворцова елена сергеевна
306	Общество с ограниченной ответственностью «Как бы инагент»	общество с ограниченной ответственностью как бы инагент 
307	Кочетков Игорь Викторович	кочетков игорь викторович
308	Общество с ограниченной ответственностью «Честные выборы»	общество с ограниченной ответственностью честные выборы 
309	Фонд развития книжной культуры «Иркутский союз библиофилов»	фонд развития книжной культуры иркутский союз библиофилов 
310	Еланчик Олег Александрович	еланчик олег александрович
311	Общество с ограниченной ответственностью «Нобелевский призыв»	общество с ограниченной ответственностью нобелевский призыв 
312	Гималова Регина Эмилевна	гималова регина эмилевна
313	Григорьев Андрей Валерьевич	григорьев андрей валерьевич
314	Григорьева Алина Александровна	григорьева алина александровна
315	"Ассоциация по содействию защите прав призывников, альтернативнослужащих и военнослужащих ""Правозащитная группа ""Гражданин.Армия.Право"""	ассоциация по содействию защите прав призывников альтернативнослужащих и военнослужащих правозащитная группа гражданин армия право 
316	Хисамова Регина Фаритовна	хисамова регина фаритовна
317	"Автономная некоммерческая организация по реализации социально-правовых программ ""Лилит"""	автономная некоммерческая организация по реализации социально правовых программ лилит 
318	"Дальневосточное общественное движение ""Маяк"""	дальневосточное общественное движение маяк 
319	"Санкт-Петербургская ЛГБТ- инициативная группа ""Выход"""	санкт петербургская лгбт инициативная группа выход 
320	"Инициативная группа ЛГБТ+ ""Реверс"""	инициативная группа лгбт реверс 
321	Алексеев Андрей Викторович	алексеев андрей викторович
322	Бекбулатова Таисия Львовна	бекбулатова таисия львовна
323	Беляев Иван Михайлович	беляев иван михайлович
324	Владыкина Елена Сергеевна	владыкина елена сергеевна
325	Гельман Марат Александрович	гельман марат александрович
326	Никульшина Вероника Юрьевна	никульшина вероника юрьевна
327	Толоконникова Надежда Андреевна	толоконникова надежда андреевна
328	Шендерович Виктор Анатольевич	шендерович виктор анатольевич
329	Общество с ограниченной ответственностью «Данное сообщение»	общество с ограниченной ответственностью данное сообщение 
330	Общество с ограниченной ответственностью «Номер семьдесят семь»	общество с ограниченной ответственностью номер семьдесят семь 
331	Общество с ограниченной ответственностью Издательский дом «Новая глава»	общество с ограниченной ответственностью издательский дом новая глава 
332	Общество с ограниченной ответственностью «ЛПНМ»	общество с ограниченной ответственностью лпнм 
333	"Региональная национально-культурная общественная организация ""Туба калык"" (Тубалары)"	региональная национально культурная общественная организация туба калык тубалары 
334	Айнбиндер Александра Александровна	айнбиндер александра александровна
335	Московский комьюнити-центр для ЛГБТ+инициатив	московский комьюнити центр для лгбт инициатив
336	Общество с ограниченной ответственностью «Новогодний выпуск»	общество с ограниченной ответственностью новогодний выпуск 
337	Общество с ограниченной ответственностью «Процесс 2021»	общество с ограниченной ответственностью процесс 2021 
338	"Автономная некоммерческая организация ""Друзья Балтики"""	автономная некоммерческая организация друзья балтики 
339	"Автономная некоммерческая организация для издания научно- популярной газеты ""ТРОИЦКИЙ ВАРИАНТ-НАУКА"""	автономная некоммерческая организация для издания научно популярной газеты троицкий вариант наука 
340	Благотворительный фонд развития филантропии	благотворительный фонд развития филантропии
341	Deutsche Welle (Германия, Kurt- Schumacher-Strasse 3, 53113 Bonn)	deutsche welle германия kurt schumacher strasse 3 53113 bonn 
342	Борзунова Мария Михайловна	борзунова мария михайловна
343	Воробьев Виктор Викторович	воробьев виктор викторович
344	Голубева Анна Львовна	голубева анна львовна
345	Константинова Алла Михайловна	константинова алла михайловна
346	Малкова Ирина Владимировна	малкова ирина владимировна
347	Мурадов Мурад Абдулгалимович	мурадов мурад абдулгалимович
348	Осетинская Елизавета Николаевна	осетинская елизавета николаевна
349	Понасенков Евгений Николаевич	понасенков евгений николаевич
350	Ганапольский Матвей Юрьевич	ганапольский матвей юрьевич
351	Киселев Евгений Алексеевич	киселев евгений алексеевич
352	Борухович Ирина Григорьевна	борухович ирина григорьевна
353	Дремин Иван Тимофеевич	дремин иван тимофеевич
354	Дубровский Дмитрий Викторович	дубровский дмитрий викторович
355	"Красноярская региональная общественная организация поддержки и развития альтернативных образовательных технологий и межкультурных коммуникаций ""ИНТЕРРА"""	красноярская региональная общественная организация поддержки и развития альтернативных образовательных технологий и межкультурных коммуникаций интерра 
356	Маяковская Екатерина Алексеевна	маяковская екатерина алексеевна
357	Фейгин Марк Захарович	фейгин марк захарович
358	Филимонов Андрей Викторович	филимонов андрей викторович
359	Дзугкоева Регина Николаевна	дзугкоева регина николаевна
360	Доброхотов Роман Александрович	доброхотов роман александрович
361	Дудь Юрий Александрович	дудь юрий александрович
362	Елкин Сергей Владимирович	елкин сергей владимирович
363	Кругликов Кирилл Игоревич	кругликов кирилл игоревич
364	Сабунаева Мария Леонидовна	сабунаева мария леонидовна
365	Семенов Алексей Владимирович	семенов алексей владимирович
366	Шаинян Карен Багратович	шаинян карен багратович
367	Шульман Екатерина Михайловна	шульман екатерина михайловна
368	Асафьев Артур Валерьевич	асафьев артур валерьевич
369	Вахштайн Виктор Семенович	вахштайн виктор семенович
370	Венедиктов Алексей Алексеевич	венедиктов алексей алексеевич
371	Воронов Владимир Владимирович	воронов владимир владимирович
372	Лушникова Екатерина Евгеньевна	лушникова екатерина евгеньевна
373	Волков Леонид Михайлович	волков леонид михайлович
374	Невзоров Александр Глебович	невзоров александр глебович
375	Пархоменко Сергей Борисович	пархоменко сергей борисович
376	Сироткин Ярослав Николаевич	сироткин ярослав николаевич
377	Кара-Мурза Владимир Владимирович	кара мурза владимир владимирович
378	Баранова Наталья Владимировна	баранова наталья владимировна
379	Общество с ограниченной ответственностью «Апология»	общество с ограниченной ответственностью апология 
380	Гозман Леонид Яковлевич	гозман леонид яковлевич
381	Кагарлицкий Борис Юльевич	кагарлицкий борис юльевич
382	Климарев Михаил Валерьевич	климарев михаил валерьевич
383	Константинов Денис Владимирович	константинов денис владимирович
384	Милов Владимир Станиславович	милов владимир станиславович
385	"Автономная некоммерческая организация Краснодарский центр современного искусства ""Типография"""	автономная некоммерческая организация краснодарский центр современного искусства типография 
386	Моргенштерн Алишер Тагирович	моргенштерн алишер тагирович
387	Соболь Любовь Эдуардовна	соболь любовь эдуардовна
388	Общество с ограниченной ответственностью «ЛИЗА НОРМ»	общество с ограниченной ответственностью лиза норм 
389	Каспаров Гарри Кимович	каспаров гарри кимович
390	Ходорковский Михаил Борисович	ходорковский михаил борисович
391	Общество с ограниченной ответственностью «Апрельские тезисы»	общество с ограниченной ответственностью апрельские тезисы 
392	"Томская региональная общественная организация по защите прав и интересов женщин ""Женский голос"""	томская региональная общественная организация по защите прав и интересов женщин женский голос 
393	Данилович Ирина Брониславовна	данилович ирина брониславовна
394	Кашин Олег Владимирович	кашин олег владимирович
395	Петров Николай Владимирович	петров николай владимирович
396	Пивоваров Алексей Владимирович	пивоваров алексей владимирович
397	Соколов Михаил Владимирович	соколов михаил владимирович
398	Цветкова Юлия Владимировна	цветкова юлия владимировна
399	Чичваркин Евгений Александрович	чичваркин евгений александрович
400	Комитет против пыток/Команда против пыток	комитет против пыток команда против пыток
401	Общество с ограниченной ответственностью «Первый научный»	общество с ограниченной ответственностью первый научный 
402	Общество с ограниченной ответственностью «Вертолет и ко»	общество с ограниченной ответственностью вертолет и ко 
403	Белоцерковская Вероника Борисовна	белоцерковская вероника борисовна
404	Кац Максим Евгеньевич	кац максим евгеньевич
405	Лазарева Татьяна Юрьевна	лазарева татьяна юрьевна
406	Шаведдинов Руслан Табризович	шаведдинов руслан табризович
407	Яшин Илья Валерьевич	яшин илья валерьевич
408	Общество с ограниченной ответственностью «Иноагент ААВ»	общество с ограниченной ответственностью иноагент аав 
409	Алешковский Дмитрий Петрович	алешковский дмитрий петрович
410	Альбац Евгения Марковна	альбац евгения марковна
411	Быков Дмитрий Львович	быков дмитрий львович
412	Галямина Юлия Евгеньевна	галямина юлия евгеньевна
413	Лойко Сергей Леонидович	лойко сергей леонидович
414	Мартынов Кирилл Константинович	мартынов кирилл константинович
415	Медведев Сергей Александрович	медведев сергей александрович
416	Крашенинников Федор Геннадиевич	крашенинников федор геннадиевич
417	Общество с ограниченной ответственностью «Новости»	общество с ограниченной ответственностью новости 
418	Гордеева Катерина Владимировна	гордеева катерина владимировна
419	Гордон Дмитрий Ильич	гордон дмитрий ильич
420	Жданов Иван Юрьевич	жданов иван юрьевич
421	Федоров Кирилл Владимирович	федоров кирилл владимирович
422	Зимин Борис Дмитриевич	зимин борис дмитриевич
423	Шац Михаил Григорьевич	шац михаил григорьевич
424	Макаревич Андрей Вадимович	макаревич андрей вадимович
425	Афанасьев Андрей Андреевич	афанасьев андрей андреевич
426	Общество с ограниченной ответственностью «Время колокольчиков»	общество с ограниченной ответственностью время колокольчиков 
427	Латынина Юлия Леонидовна	латынина юлия леонидовна
428	Соловей Валерий Дмитриевич	соловей валерий дмитриевич
429	Наки Майкл Сидней	наки майкл сидней
430	Эйдельман Тамара Натановна	эйдельман тамара натановна
431	Шукаева Елена Викторовна	шукаева елена викторовна
432	Галкин Максим Александрович	галкин максим александрович
433	Иванов Дмитрий Сергеевич	иванов дмитрий сергеевич
434	Кен Даниил Олегович	кен даниил олегович
435	Кушнарь Александр Александрович	кушнарь александр александрович
436	Цимбалюк Роман Владимирович	цимбалюк роман владимирович
437	Мартыненко Тимофей Сергеевич	мартыненко тимофей сергеевич
438	Литвин Богдан Геннадьевич	литвин богдан геннадьевич
439	Балтатарова Евгения Семеновна	балтатарова евгения семеновна
440	Глуховский Дмитрий Алексеевич	глуховский дмитрий алексеевич
441	Ресурсный центр для ЛГБТ	ресурсный центр для лгбт
442	Попова Алена Владимировна	попова алена владимировна
443	Сторожева Ирина Владимировна	сторожева ирина владимировна
444	Федоров Мирон Янович	федоров мирон янович
445	Ясавеев Искэндэр Габдрахманович	ясавеев искэндэр габдрахманович
446	Общество с ограниченной ответственностью «Вольные люди»	общество с ограниченной ответственностью вольные люди 
447	Долин Антон Владимирович	долин антон владимирович
448	Жадаев Иван Алексеевич	жадаев иван алексеевич
449	Куцылло Вероника Иосифовна	куцылло вероника иосифовна
450	Рувинский Владимир Владимирович	рувинский владимир владимирович
451	Телегина Наталия Геннадьевна	телегина наталия геннадьевна
452	Дзядко Тихон Викторович	дзядко тихон викторович
453	Харатьян Кирилл Евгеньевич	харатьян кирилл евгеньевич
454	«Молодежное демократическое движение «Весна»	 молодежное демократическое движение весна 
455	Низовцев Дмитрий Александрович	низовцев дмитрий александрович
456	Ярмыш Кира Александровна	ярмыш кира александровна
457	Общество с ограниченной ответственностью «Иновещание»	общество с ограниченной ответственностью иновещание 
458	Зыгарь Михаил Викторович	зыгарь михаил викторович
459	Босов Катерина Евгеньевна	босов катерина евгеньевна
460	Кочкин Семен Александрович	кочкин семен александрович
461	Роднянский Александр Ефимович	роднянский александр ефимович
462	Габбасов Руслан Салаватович	габбасов руслан салаватович
463	Плющев Александр Владимирович	плющев александр владимирович
464	Пономарев Илья Владимирович	пономарев илья владимирович
465	Шадрина Татьяна Владимировна	шадрина татьяна владимировна
466	Шуманов Илья Вячеславович	шуманов илья вячеславович
467	Баев Андрей Сергеевич	баев андрей сергеевич
468	Докучаев Алексей Алексеевич	докучаев алексей алексеевич
469	Беньяш Михаил Михайлович	беньяш михаил михайлович
470	Березовец Тарас Валерьевич	березовец тарас валерьевич
471	Котрикадзе Екатерина Бесикиевна	котрикадзе екатерина бесикиевна
472	Роменский Владимир Андреевич	роменский владимир андреевич
473	Синдеева Наталья Владимировна	синдеева наталья владимировна
474	Яковина Иван Викторович	яковина иван викторович
475	Закрытая компания с ограниченной ответственностью «Букмейт Лимитед» (Ирландия)	закрытая компания с ограниченной ответственностью букмейт лимитед ирландия 
476	Биккинин Ирек Дамирович	биккинин ирек дамирович
477	Колезев Дмитрий Евгеньевич	колезев дмитрий евгеньевич
478	Алексеев Иван Александрович	алексеев иван александрович
479	Заякин Андрей Викторович	заякин андрей викторович
480	Карпук Руслан Леонидович	карпук руслан леонидович
481	Мальцев Вячеслав Вячеславович	мальцев вячеслав вячеславович
482	Светов Михаил Владимирович	светов михаил владимирович
483	Усанова Олимпиада Валентиновна	усанова олимпиада валентиновна
484	Шихман Ирина Юрьевна	шихман ирина юрьевна
485	Барабашова Любовь Григорьевна	барабашова любовь григорьевна
486	Новиков Илья Сергеевич	новиков илья сергеевич
487	Монгайт Анна Викторовна	монгайт анна викторовна
488	Гармажапова Александра Цыреновна	гармажапова александра цыреновна
489	Телин Федор Алексеевич	телин федор алексеевич
490	Ройзман Евгений Вадимович	ройзман евгений вадимович
491	Ковин Виталий Сергеевич	ковин виталий сергеевич
492	Московский региональный общественный благотворительный фонд «Социальное партнерство»	московский региональный общественный благотворительный фонд социальное партнерство 
493	Общество с ограниченнойответственностью «Город без преград»	общество с ограниченнойответственностью город без преград 
494	Транс-инициативная группа «Т- Действие»	транс инициативная группа т действие 
495	Аскеров Ровшан Энвер оглы	аскеров ровшан энвер оглы
496	Экологическое движение «42»	экологическое движение 42 
497	Апресян Рубен Грантович	апресян рубен грантович
498	Фишман Михаил Владимирович	фишман михаил владимирович
499	Мурзагулов Ростислав Рафкатович	мурзагулов ростислав рафкатович
500	The Bell	the bell
501	Региональная общественная организация «Экологическая вахта Сахалина»	региональная общественная организация экологическая вахта сахалина 
502	Автономная некоммерческая организация «Центр сохранения и изучения лососевых видов рыб и мест их обитания»	автономная некоммерческая организация центр сохранения и изучения лососевых видов рыб и мест их обитания 
503	Самарская общественная организация ЛГБТ+ «Ирида»	самарская общественная организация лгбт ирида 
504	Таратута Юлия Леонидовна	таратута юлия леонидовна
505	Тютрин Иван Иванович	тютрин иван иванович
506	Любимов Дмитрий Александрович	любимов дмитрий александрович
507	Давыдов Дмитрий Викторович	давыдов дмитрий викторович
508	Грязневич Наталья Владимировна	грязневич наталья владимировна
509	Жвик Анастасия Николаевна	жвик анастасия николаевна
510	Ганнушкина Светлана Алексеевна	ганнушкина светлана алексеевна
511	Пьяных Глеб Валентинович	пьяных глеб валентинович
512	Колесников Андрей Владимирович	колесников андрей владимирович
513	Автономная некоммерческая организация социально-спортивных программ «Спортивное ЛГБТ-сообщество»	автономная некоммерческая организация социально спортивных программ спортивное лгбт сообщество 
514	Anti-Corruption Foundation Inc.	anti corruption foundation inc 
515	«Феминистское Антивоенное Сопротивление»	 феминистское антивоенное сопротивление 
516	Общественная организация «Роскомсвобода»	общественная организация роскомсвобода 
517	Троицкий Артемий Кивович	троицкий артемий кивович
518	Смольянинов Артур Сергеевич	смольянинов артур сергеевич
519	Кирсанов Сергей Владимирович	кирсанов сергей владимирович
520	Фурсов Анатолий Владимирович	фурсов анатолий владимирович
521	Ухов Сергей Анатольевич	ухов сергей анатольевич
522	Шелест Александр	шелест александр
523	Общество с ограниченной ответственностью «ТЕНЕС»	общество с ограниченной ответственностью тенес 
524	Гырдымова Елизавета Андреевна	гырдымова елизавета андреевна
525	Осечкин Владимир Валерьевич	осечкин владимир валерьевич
526	Устимов Антон Михайлович	устимов антон михайлович
527	Яганов Ибрагим Хасанбиевич	яганов ибрагим хасанбиевич
528	Харченко Вадим Михайлович	харченко вадим михайлович
529	Беседина Дарья Станиславовна	беседина дарья станиславовна
530	Проект для трансгендерных людей и их близких «T9 NSK»	проект для трансгендерных людей и их близких t9 nsk 
531	Прусикин Илья Владимирович	прусикин илья владимирович
532	Агумава Фидель Эдуардович	агумава фидель эдуардович
533	Омбадыков Эрдни Басан	омбадыков эрдни басан
534	Кашапов Рафис Рафаилович	кашапов рафис рафаилович
535	Серенко Дарья Андреевна	серенко дарья андреевна
536	Общество с ограниченной ответственностью «Философия ненасилия»	общество с ограниченной ответственностью философия ненасилия 
537	Фонд развития цифровых прав	фонд развития цифровых прав
538	Мезерин Павел Владимирович	мезерин павел владимирович
539	Соболев Николай Юрьевич	соболев николай юрьевич
540	Макашенец Александр Юрьевич	макашенец александр юрьевич
541	Дудко Екатерина Артуровна	дудко екатерина артуровна
542	Прокашева Елена Владимировна	прокашева елена владимировна
543	Рамазанова Земфира Талгатовна	рамазанова земфира талгатовна
544	Гудков Дмитрий Геннадьевич	гудков дмитрий геннадьевич
545	Галлямов Аббас Радикович	галлямов аббас радикович
546	Намазбаева Татьяна Валерьевна	намазбаева татьяна валерьевна
547	Асланян Сергей Степанович	асланян сергей степанович
548	Шпилькин Сергей Александрович	шпилькин сергей александрович
549	Ривина Анна Валерьевна	ривина анна валерьевна
550	Казанцева Александра Николаевна	казанцева александра николаевна
551	Зубов Андрей Борисович	зубов андрей борисович
552	Школа свободной общественной мысли «Возрождение»	школа свободной общественной мысли возрождение 
553	Лошак Андрей Борисович	лошак андрей борисович
554	Всемирный фонд природы, с 18.09.2023 Фонд охраны окружающей среды и защиты животных 	всемирный фонд природы с 18 09 2023 фонд охраны окружающей среды и защиты животных 
555	Фонд «Свободная Бурятия»	фонд свободная бурятия 
556	Губарев Даниил Евгеньевич	губарев даниил евгеньевич
557	Гуриев Сергей Маратович	гуриев сергей маратович
558	Гершензон Лев Михайлович	гершензон лев михайлович
559	Гудков Геннадий Владимирович	гудков геннадий владимирович
560	Водвуд Вераника Сергеевна	водвуд вераника сергеевна
561	Варламов Илья Александрович	варламов илья александрович
562	Парни Плюс/Парни+	парни плюс парни 
563	Чиков Павел Владимирович	чиков павел владимирович
564	Айсин Руслан Валерьевич	айсин руслан валерьевич
565	Лада-Русь Светлана Михайловна	лада русь светлана михайловна
566	Бакалейко Богдан Владимирович	бакалейко богдан владимирович
567	Покровский Максим Сергеевич	покровский максим сергеевич
568	Бойко Сергей Андреевич	бойко сергей андреевич
569	Чентемиров Георгий Ростиславович	чентемиров георгий ростиславович
570	«Теплица социальных технологий»	 теплица социальных технологий 
571	Альянс гетеросексуалов и ЛГБТ за равноправие «Настоящая Россия»	альянс гетеросексуалов и лгбт за равноправие настоящая россия 
572	Общество с ограниченной ответственностью «Хроникёр»	общество с ограниченной ответственностью хроникёр 
573	Бабченко Аркадий Аркадьевич	бабченко аркадий аркадьевич
574	Слепаков Семен Сергеевич	слепаков семен сергеевич
575	Яковенко Игорь Александрович	яковенко игорь александрович
576	Мунтян Павел Андреевич	мунтян павел андреевич
577	Каныгин Павел Юрьевич	каныгин павел юрьевич
578	Фонд Карнеги за международный мир	фонд карнеги за международный мир
579	Издание «Агентство»	издание агентство 
580	Интернет-издание «Полигон»	интернет издание полигон 
581	«Радужная ассоциация»	 радужная ассоциация 
582	Грозев Христо	грозев христо
583	Севец-Ермолина Наталья Федоровна	севец ермолина наталья федоровна
584	Вихарева Эльвира Владимировна	вихарева эльвира владимировна
585	Автономная некоммерческая правозащитная организация «Школа призывника»	автономная некоммерческая правозащитная организация школа призывника 
586	Журналистский проект «Адвокатская улица»	журналистский проект адвокатская улица 
587	Матвеев Ян Андреевич	матвеев ян андреевич
588	Осовцов Александр Авраамович	осовцов александр авраамович
589	Преображенский Иван Сергеевич	преображенский иван сергеевич
590	Албуров Георгий Валентинович	албуров георгий валентинович
591	Максакова-Игенбергс Мария Петровна	максакова игенбергс мария петровна
592	Певчих Мария Константиновна	певчих мария константиновна
593	Пастухов Владимир Борисович	пастухов владимир борисович
594	Агафонова Елена Владимировна	агафонова елена владимировна
595	«Кризисная группа СК SOS» (North Caucasus SOS Crisis Group)	 кризисная группа ск sos north caucasus sos crisis group 
596	Общество с ограниченной ответственностью «ТАЙГА ИНФО»	общество с ограниченной ответственностью тайга инфо 
597	Женское общественно-политическое движение «Мягкая сила»	женское общественно политическое движение мягкая сила 
598	Общественная организация «Санкт-Петербургский Русский ПЕН- клуб»	общественная организация санкт петербургский русский пен клуб 
599	Бортник Егор Михайлович	бортник егор михайлович
600	Аллеман Ирина Владимировна	аллеман ирина владимировна
601	Иноземцев Владислав Леонидович	иноземцев владислав леонидович
602	Чернышов Сергей Андреевич	чернышов сергей андреевич
603	Архипова Александра Сергеевна	архипова александра сергеевна
604	Габуев Александр Тамерланович	габуев александр тамерланович
605	Пшеничная Анна Эдуардовна	пшеничная анна эдуардовна
606	Цуканова Ольга Викторовна	цуканова ольга викторовна
607	«Общенародный Союз Возрождения России»	 общенародный союз возрождения россии 
608	«Совет матерей и жен»	 совет матерей и жен 
609	Гаджиев Магомед Тажудинович	гаджиев магомед тажудинович
610	Супер Роман Владимирович	супер роман владимирович
611	Орешкин Дмитрий Борисович	орешкин дмитрий борисович
612	Кузахметов Максим Рафикович	кузахметов максим рафикович
613	Издание «Проект»	издание проект 
614	Общество с ограниченной ответственностью «ЯРНОВОСТИ»	общество с ограниченной ответственностью ярновости 
615	Шлосберг Лев Маркович	шлосберг лев маркович
616	Алексашенко Сергей Владимирович	алексашенко сергей владимирович
617	Манский Виталий Всеволодович	манский виталий всеволодович
618	Прокопьева Светлана Владимировна	прокопьева светлана владимировна
619	Информационный портал «ВЕСЬМА»	информационный портал весьма 
620	Фонд «Свободная Якутия» (Free Yakutia Foundation)	фонд свободная якутия free yakutia foundation 
621	Парамонова Юлия Борисовна	парамонова юлия борисовна
622	Невзлин Леонид Борисович	невзлин леонид борисович
623	Колмановский Илья Александрович	колмановский илья александрович
624	Лобанов Михаил Сергеевич	лобанов михаил сергеевич
625	Боварь Виталий Викторович	боварь виталий викторович
626	Латыпов Роберт Рамилевич	латыпов роберт рамилевич
627	Белик Александр Еленович	белик александр еленович
628	Ступин Евгений Викторович	ступин евгений викторович
629	«Движение сознательных отказчиков»	 движение сознательных отказчиков 
630	Комьюнити-центр «Действие»	комьюнити центр действие 
631	Гребенщиков Борис Борисович	гребенщиков борис борисович
