	name	clean_text
52	Озерская городская социально- экологическая общественная организация «Планета надежд»	озерская городская социально экологическая общественная организация планета надежд 
53	Новосибирский областной общественный фонд «Фонд защиты прав потребителей»	новосибирский областной общественный фонд фонд защиты прав потребителей 
54	Региональная общественная благотворительная организация помощи беженцам и мигрантам «Гражданское содействие»	региональная общественная благотворительная организация помощи беженцам и мигрантам гражданское содействие 
55	Фонд поддержки расследовательской журналистики – Фонд 19/29	фонд поддержки расследовательской журналистики фонд 19 29
56	Калининградская региональная общественная организация информационно-правовых программ «Женская лига»	калининградская региональная общественная организация информационно правовых программ женская лига 
57	Автономная некоммерческая организация «Мемориальный центр истории политических репрессий «Пермь-36»	автономная некоммерческая организация мемориальный центр истории политических репрессий пермь 36 
58	Ассоциация «Экспертно-правовое партнерство «Союз»	ассоциация экспертно правовое партнерство союз 
59	Некоммерческое партнерство «Клуб бухгалтеров и аудиторов некоммерческих организаций»	некоммерческое партнерство клуб бухгалтеров и аудиторов некоммерческих организаций 
60	«Частное учреждение в Калининграде по административной поддержке реализации программ и проектов Совета Министров северных стран»	 частное учреждение в калининграде по административной поддержке реализации программ и проектов совета министров северных стран 
61	Межрегиональная благотворительная общественная организация «Центр развития некоммерческих организаций»	межрегиональная благотворительная общественная организация центр развития некоммерческих организаций 
62	Негосударственное образовательное учреждение дополнительного профессионального образования (повышение квалификации) специалистов «АКАДЕМИЯ ПО ПРАВАМ ЧЕЛОВЕКА»	негосударственное образовательное учреждение дополнительного профессионального образования повышение квалификации специалистов академия по правам человека 
63	Свердловская региональная общественная организация «Сутяжник»	свердловская региональная общественная организация сутяжник 
64	Нижегородская региональная общественная организация «Экологический центр «Дронт»	нижегородская региональная общественная организация экологический центр дронт 
65	ФОНД НЕКОММЕРЧЕСКИХ ПРОГРАММ ДМИТРИЯ ЗИМИНА «ДИНАСТИЯ»	фонд некоммерческих программ дмитрия зимина династия 
66	НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ НАУЧНЫЙ ФОНД ТЕОРЕТИЧЕСКИХ И ПРИКЛАДНЫХ ИССЛЕДОВАНИЙ «ЛИБЕРАЛЬНАЯ МИССИЯ»	некоммерческая организация научный фонд теоретических и прикладных исследований либеральная миссия 
67	Территориальное объединение работодателей «Ефремовский районный союз промышленников и предпринимателей»	территориальное объединение работодателей ефремовский районный союз промышленников и предпринимателей 
68	Региональная общественная организация «Центр независимых исследователей Республики Алтай»	региональная общественная организация центр независимых исследователей республики алтай 
69	"ФОНД ""СИБИРСКИЙ ЦЕНТР ПОДДЕРЖКИ ОБЩЕСТВЕННЫХ ИНИЦИАТИВ"""	фонд сибирский центр поддержки общественных инициатив 
70	РЕСПУБЛИКАНСКАЯ МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ «НУОРИ КАРЬЯЛА» («МОЛОДАЯ КАРЕЛИЯ)	республиканская молодежная общественная организация нуори карьяла молодая карелия 
71	МЕЖРЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД МИРА НА ЮГЕ И СЕВЕРНОМ КАВКАЗЕ	межрегиональный общественный фонд мира на юге и северном кавказе
72	Автономная некоммерческая организация «Центр независимых социологических исследований»	автономная некоммерческая организация центр независимых социологических исследований 
73	Автономная некоммерческая организация «Центр информации «ФРИИНФОРМ»	автономная некоммерческая организация центр информации фриинформ 
74	Региональная общественная организация содействия охране репродуктивного здоровья граждан «Народонаселение и Развитие»	региональная общественная организация содействия охране репродуктивного здоровья граждан народонаселение и развитие 
75	Алтайская краевая общественная организация «Геблеровское экологическое общество»	алтайская краевая общественная организация геблеровское экологическое общество 
76	АССОЦИАЦИЯ «СОДЕЙСТВИЕ В ПРАВОВОЙ ЗАЩИТЕ НАСЕЛЕНИЯ «ПРАВОВАЯ ОСНОВА»	ассоциация содействие в правовой защите населения правовая основа 
77	Межрегиональная общественная организация «Северная природоохранная коалиция»	межрегиональная общественная организация северная природоохранная коалиция 
78	КОМИ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ «КОМИССИЯ ПО ЗАЩИТЕ ПРАВ ЧЕЛОВЕКА «МЕМОРИАЛ»	коми региональная общественная организация комиссия по защите прав человека мемориал 
79	Алтайский краевой эколого-культурный общественный фонд «Алтай-21век»	алтайский краевой эколого культурный общественный фонд алтай 21век 
80	МЕЖРЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКОГО ОБЩЕСТВА «ГОЛОС – УРАЛ»	межрегиональный общественный фонд содействия развитию гражданского общества голос урал 
81	ФОНД ПОДДЕРЖКИ СРЕДСТВ МАССОВОЙ ИНФОРМАЦИИ «СРЕДА»	фонд поддержки средств массовой информации среда 
